"survey_result_id","workoscope_result_id","scores"
"47b07441-1708-4da3-84a2-bf80da463a9e","aec1e777-1623-4505-b4c9-6bac747555e9","[{""mode"" : ""Introspection"", ""mode_score"" : 37}, {""mode"" : ""Transformation"", ""mode_score"" : 29}, {""mode"" : ""Impact"", ""mode_score"" : 23}, {""mode"" : ""Équilibre"", ""mode_score"" : 7}, {""mode"" : ""Ascension"", ""mode_score"" : 4}]"
"4915c9bc-c5b7-4003-95d2-a885b7b41fad","5a2a3b19-ebfc-4098-b6c4-76545e8bc19d","[{""mode"" : ""Introspection"", ""mode_score"" : 30}, {""mode"" : ""Ascension"", ""mode_score"" : 24}, {""mode"" : ""Impact"", ""mode_score"" : 20}, {""mode"" : ""Transformation"", ""mode_score"" : 13}, {""mode"" : ""Équilibre"", ""mode_score"" : 13}]"
"4918abe1-2e66-43d0-b0ed-2632aac03518","4a8cfb5a-ef71-48e6-a5c9-a6757568846f","[{""mode"" : ""Ascension"", ""mode_score"" : 27}, {""mode"" : ""Introspection"", ""mode_score"" : 22}, {""mode"" : ""Transformation"", ""mode_score"" : 20}, {""mode"" : ""Équilibre"", ""mode_score"" : 16}, {""mode"" : ""Impact"", ""mode_score"" : 15}]"
"492f9607-903e-422a-9ca2-d6620f352554","fb18d4c0-86e2-4e90-b2a5-5a6104fc7a9c","[{""mode"" : ""Introspection"", ""mode_score"" : 28}, {""mode"" : ""Transformation"", ""mode_score"" : 27}, {""mode"" : ""Impact"", ""mode_score"" : 22}, {""mode"" : ""Ascension"", ""mode_score"" : 21}, {""mode"" : ""Équilibre"", ""mode_score"" : 2}]"
"49fc3bc2-ce5d-4966-a5f2-9181944a7f6a","92c37178-b790-473e-8e69-50a1558d5128","[{""mode"" : ""Transformation"", ""mode_score"" : 32}, {""mode"" : ""Ascension"", ""mode_score"" : 30}, {""mode"" : ""Introspection"", ""mode_score"" : 29}, {""mode"" : ""Impact"", ""mode_score"" : 9}, {""mode"" : ""Équilibre"", ""mode_score"" : 0}]"
"4e430fca-f1e9-4016-ac11-8674279fcbeb","8cca4e8f-4ae4-4976-a8bd-f39a4e61739a","[{""mode"" : ""Introspection"", ""mode_score"" : 29}, {""mode"" : ""Impact"", ""mode_score"" : 27}, {""mode"" : ""Équilibre"", ""mode_score"" : 20}, {""mode"" : ""Ascension"", ""mode_score"" : 16}, {""mode"" : ""Transformation"", ""mode_score"" : 8}]"
"51341264-ae7e-4294-bf3c-ca5ed9e3a7d5","f213f74c-6d56-4878-8997-8cb282b00f80","[{""mode"" : ""Introspection"", ""mode_score"" : 34}, {""mode"" : ""Impact"", ""mode_score"" : 21}, {""mode"" : ""Transformation"", ""mode_score"" : 19}, {""mode"" : ""Équilibre"", ""mode_score"" : 16}, {""mode"" : ""Ascension"", ""mode_score"" : 10}]"
"51d0da01-50cf-4455-8041-8acc89240e78","0ca51c93-e5af-4498-8d3a-2393491ae87a","[{""mode"" : ""Introspection"", ""mode_score"" : 49}, {""mode"" : ""Impact"", ""mode_score"" : 30}, {""mode"" : ""Transformation"", ""mode_score"" : 21}, {""mode"" : ""Équilibre"", ""mode_score"" : 0}, {""mode"" : ""Ascension"", ""mode_score"" : 0}]"
"521f9ac7-32a5-4ef0-8378-f73b5c800152","91b53a8b-cac3-4d41-b779-74a73692a6e1","[{""mode"" : ""Introspection"", ""mode_score"" : 30}, {""mode"" : ""Ascension"", ""mode_score"" : 29}, {""mode"" : ""Transformation"", ""mode_score"" : 15}, {""mode"" : ""Impact"", ""mode_score"" : 13}, {""mode"" : ""Équilibre"", ""mode_score"" : 13}]"
"527acdcb-9b54-45d5-ade3-ff38576a411c","278ccf14-4cfc-43da-a98f-93f55b1d00d4","[{""mode"" : ""Introspection"", ""mode_score"" : 38}, {""mode"" : ""Impact"", ""mode_score"" : 28}, {""mode"" : ""Ascension"", ""mode_score"" : 13}, {""mode"" : ""Transformation"", ""mode_score"" : 11}, {""mode"" : ""Équilibre"", ""mode_score"" : 10}]"
"535f9125-d45b-41d6-a99a-8a45b5638e10","60e174c4-8739-4dd0-8857-9d646f29d251","[{""mode"" : ""Introspection"", ""mode_score"" : 48}, {""mode"" : ""Équilibre"", ""mode_score"" : 27}, {""mode"" : ""Impact"", ""mode_score"" : 25}, {""mode"" : ""Ascension"", ""mode_score"" : 0}, {""mode"" : ""Transformation"", ""mode_score"" : 0}]"
"544c992d-bc3d-4cbc-a309-643bdbac6447","a38d833b-b501-40a2-b157-79dd580cefb5","[{""mode"" : ""Impact"", ""mode_score"" : 33}, {""mode"" : ""Transformation"", ""mode_score"" : 31}, {""mode"" : ""Introspection"", ""mode_score"" : 29}, {""mode"" : ""Ascension"", ""mode_score"" : 7}, {""mode"" : ""Équilibre"", ""mode_score"" : 0}]"
"548decb1-2db6-43c1-9195-ee37afca9087","c89187bd-2190-4201-a6ea-123b1a763a7f","[{""mode"" : ""Impact"", ""mode_score"" : 28}, {""mode"" : ""Ascension"", ""mode_score"" : 26}, {""mode"" : ""Introspection"", ""mode_score"" : 23}, {""mode"" : ""Transformation"", ""mode_score"" : 23}, {""mode"" : ""Équilibre"", ""mode_score"" : 0}]"
"563a54f5-f932-449f-8099-0cc037dabac9","7e46aa32-1b60-46f9-919f-106e5fcd68d0","[{""mode"" : ""Introspection"", ""mode_score"" : 34}, {""mode"" : ""Transformation"", ""mode_score"" : 19}, {""mode"" : ""Ascension"", ""mode_score"" : 17}, {""mode"" : ""Impact"", ""mode_score"" : 16}, {""mode"" : ""Équilibre"", ""mode_score"" : 14}]"
"57bc7362-35d7-4758-bb2d-c3a30afcb0ed","9ca30bc8-3e16-47cb-8b22-dea1e1a7245a","[{""mode"" : ""Introspection"", ""mode_score"" : 33}, {""mode"" : ""Impact"", ""mode_score"" : 27}, {""mode"" : ""Ascension"", ""mode_score"" : 15}, {""mode"" : ""Équilibre"", ""mode_score"" : 13}, {""mode"" : ""Transformation"", ""mode_score"" : 12}]"
"584d35aa-460c-4659-a763-fab95e1c3999","c6fcb430-ac0c-4c97-9b18-23227b80d7a5","[{""mode"" : ""Introspection"", ""mode_score"" : 36}, {""mode"" : ""Équilibre"", ""mode_score"" : 24}, {""mode"" : ""Transformation"", ""mode_score"" : 19}, {""mode"" : ""Impact"", ""mode_score"" : 15}, {""mode"" : ""Ascension"", ""mode_score"" : 6}]"
"5f21731f-7d73-44d9-abba-b4277274598e","76523887-1e1c-4f0b-8c50-81ed229a02e0","[{""mode"" : ""Transformation"", ""mode_score"" : 33}, {""mode"" : ""Introspection"", ""mode_score"" : 28}, {""mode"" : ""Impact"", ""mode_score"" : 22}, {""mode"" : ""Ascension"", ""mode_score"" : 10}, {""mode"" : ""Équilibre"", ""mode_score"" : 7}]"
"60e94bab-cb45-48b7-ad6d-e9e95590ea8d","ae7348ed-db38-4f04-9aaa-3dc10c510e67","[{""mode"" : ""Introspection"", ""mode_score"" : 28}, {""mode"" : ""Ascension"", ""mode_score"" : 22}, {""mode"" : ""Impact"", ""mode_score"" : 17}, {""mode"" : ""Transformation"", ""mode_score"" : 17}, {""mode"" : ""Équilibre"", ""mode_score"" : 16}]"
"6103f82a-3da6-486a-a175-65bba2bb33a0","8bcd200f-4a29-43cf-9d32-c85fd4d446ef","[{""mode"" : ""Introspection"", ""mode_score"" : 41}, {""mode"" : ""Ascension"", ""mode_score"" : 17}, {""mode"" : ""Impact"", ""mode_score"" : 15}, {""mode"" : ""Équilibre"", ""mode_score"" : 15}, {""mode"" : ""Transformation"", ""mode_score"" : 12}]"
"61100bec-1621-4e64-94ec-e306c471bc4b","5a55151f-8808-474b-bde8-00a86a708e27","[{""mode"" : ""Introspection"", ""mode_score"" : 43}, {""mode"" : ""Équilibre"", ""mode_score"" : 42}, {""mode"" : ""Impact"", ""mode_score"" : 15}, {""mode"" : ""Transformation"", ""mode_score"" : 0}, {""mode"" : ""Ascension"", ""mode_score"" : 0}]"
